02060404,020604,Rubona
02060405,020604,Rutabo
02060501,020605,Bweramvura
02060502,020605,Gitinda
02060503,020605,Kirwa
02060504,020605,Muyunzwe
02060505,020605,Nyakogo
02060506,020605,Rukina
02060601,020606,Cyanza
02060602,020606,Gisanga
02060603,020606,Kabuga
02060604,020606,Kizibere
02060605,020606,Mbuye
02060606,020606,Mwendo
02060607,020606,Nyakarekare
02060701,020607,Gafunzo
02060702,020607,Gishweru
02060703,020607,Kamujisho
02060704,020607,Kigarama
02060705,020607,Kubutare
02060706,020607,Mutara
02060707,020607,Nyabibugu
02060708,020607,Saruheshyi
02060801,020608,Gako
02060802,020608,Kareba
02060803,020608,Kayenzi
02060804,020608,Kebero
02060805,020608,Nyagisozi
02060806,020608,Nyakabungo
02060807,020608,Nyarurama
02060901,020609,Buhoro
02060902,020609,Bunyogombe
02060903,020609,Gikoma
02060904,020609,Munini
02060905,020609,Musamo
02060906,020609,Nyamagana
02060907,020609,Rwoga
02060908,020609,Tambwe
02070101,020701,Biringaga
02070102,020701,Kigarama
02070103,020701,Kivumu
02070104,020701,Makera
02070105,020701,Nyarunyinya
02070106,020701,Shori
02070201,020702,Buramba
02070202,020702,Butare
02070203,020702,Kabuye
02070204,020702,Kavumu
02070205,020702,Kibyimba
02070206,020702,Ngarama
02070207,020702,Ngoma
02070208,020702,Sholi
02070301,020703,Gisharu
02070302,020703,Gitega
02070303,020703,Jurwe
02070304,020703,Mubuga
02070305,020703,Rubyiniro
02070306,020703,Ryakanimba
02070401,020704,Budende
02070402,020704,Ndago
02070403,020704,Remera
02070404,020704,Ruhina
02070405,020704,Rukeri
02070501,020705,Kanyinya
02070502,020705,Nganzo
02070503,020705,Nyamirama
02070504,020705,Remera
02070505,020705,Tyazo
02070601,020706,Matyazo
02070602,020706,Munazi
02070603,020706,Nyagasozi
02070604,020706,Rukaragata
02070605,020706,Rwasare
02070606,020706,Rwigerero
02070701,020707,Gashorera
02070702,020707,Masangano
02070703,020707,Mbuga
02070704,020707,Muvumba
02070705,020707,Nyarusozi
02070801,020708,Gahogo
02070802,020708,Gifumba
02070803,020708,Gitarama
02070804,020708,Remera
02070901,020709,Mbiriri
02070902,020709,Musongati
02070903,020709,Ngaru
02070904,020709,Rusovu
02071001,020710,Gasagara
02071002,020710,Gasharu
02071003,020710,Karambo
02071004,020710,Nyamirambo
02071005,020710,Ruhango
02071101,020711,Gasave
02071102,020711,Kanyana
02071103,020711,Kibaga
02071104,020711,Mpinga
02071105,020711,Nsanga
02071201,020712,Kinini
02071202,020712,Mbare
02071203,020712,Mubuga
02071204,020712,Ruli
02080101,020801,Gihinga
02080102,020801,Gihira
02080103,020801,Kigembe
02080104,020801,Nkingo
02080201,020802,Bitare
02080202,020802,Bunyonga
02080203,020802,Muganza
02080204,020802,Nyamirembe
02080301,020803,Bugarama
02080302,020803,Cubi
02080303,020803,Kayonza
02080304,020803,Kirwa
02080305,020803,Mataba
02080306,020803,Nyamirama
02080401,020804,Busoro
02080402,020804,Gaseke
02080403,020804,Giko
02080404,020804,Muyange
02080501,020805,Jenda
02080502,020805,Kabugondo
02080503,020805,Mbati
02080504,020805,Mugina
02080505,020805,Nteko
02080601,020806,Buhoro
02080602,020806,Cyambwe
02080603,020806,Karengera
02080604,020806,Kivumu
02080605,020806,Mpushi
02080606,020806,Rukambura
02080701,020807,Kabuga
02080702,020807,Kazirabonde
02080703,020807,Marembo
02080801,020808,Bibungo
02080802,020808,Kabashumba
02080803,020808,Kidahwe
02080804,020808,Mukinga
02080805,020808,Ngoma
02080901,020809,Gitare
02080902,020809,Kambyeyi
02080903,020809,Kigusa
02080904,020809,Nyagishubi
02080905,020809,Ruyanza
02081001,020810,Bihembe
02081002,020810,Kigese
02081003,020810,Masaka
02081004,020810,Nyarubuye
02081005,020810,Sheli
02081101,020811,Bugoba
02081102,020811,Buguri
02081103,020811,Gishyeshye
02081104,020811,Murehe
02081105,020811,Mwirute
02081106,020811,Remera
02081107,020811,Taba
02081201,020812,Gihara
02081202,020812,Kabagesera
02081203,020812,Kagina
02081204,020812,Muganza
02081205,020812,Ruyenzi
03010101,030101,Burunga
03010102,030101,Gasura
03010103,030101,Gitarama
03010104,030101,Kayenzi
03010105,030101,Kibuye
03010106,030101,Kiniha
03010107,030101,Nyarusazi
03010201,030102,Birambo
03010202,030102,Musasa
03010203,030102,Mwendo
03010204,030102,Rugobagoba
03010205,030102,Tongati
03010301,030103,Buhoro
